QuestionType,Asin,AnswerTime,UnixTime,Question,AnswerType,Answer,Category
yes/no,B00004U9JP,"Jun 27, 2014",1403852400.0,"I have a 9 year old Badger 1 that needs replacing, will this Badger 1 install just like the original one?",?,I replaced my old one with this without a hitch.,Appliances
open-ended,B00004U9JP,"Apr 28, 2014",1398668400.0,model number,,This may help InSinkErator Model BADGER-1: Badger 1 1/3 HP Garbage Disposal PRODUCT DETAILS - Bellacor Number:309641 / UPC:050375000419 Brand SKU:500181,Appliances
yes/no,B00004U9JP,"Aug 25, 2014",1408950000.0,can I replace Badger 1 1/3 with a Badger 5 1/2 - with same connections?,?,"Plumbing connections will vary with different models. Usually the larger higher amp draw wil not affect the wiring, the disposals are designed to a basic standard setup common to all brands. They want you to buy their brand or version or model. As long as the disposal is UL listed, United Laboratories, they will setup and bolt up the same.",Appliances
yes/no,B00004U9JP,"Nov 3, 2014",1415001600.0,Does this come with power cord and dishwasher hook up?,?,It does not come with a power cord. It does come with the dishwasher hookup.,Appliances
open-ended,B00004U9JP,"Jun 21, 2014",1403334000.0,loud noise inside when turned on. sounds like blades are loose,,Check if you dropped something inside.Usually my wife put lemons inside make a lot of noise and I will have to get them out using my hands or mechanical fingers .,Appliances
open-ended,B00004U9JP,"Jul 13, 2013",1373698800.0,where is the reset button located,,on the bottom,Appliances
open-ended,B00004U9JO,"Mar 9, 2014",1394352000.0,I have a badger 5 it is leaking water at bottom near reset bottom plus does a new one came with a ss ring for inside the sink,,"If your garbage disposal is leaking out the bottom near the reset button, you most likely have a leak in the metal plate that is located directly under the blades. This plate is designed to protect the electrically powered parts of the motor (the rotor, the shaft, etc.) from moisture, but it is rather thin and is only made of galvanized steel. After a year or two, especially if you use highly acidic cleaners which you rinse down your sink, the zinc layer will corrode and expose the steel, which will then also start to corrode, until something hard eventually pokes some kind of hole through the plate somewhere (could be somewhere very small), signaling the end of the machine's service life. The plate is not meant to be repaired, only replaced along with the rest of the unit. That water is getting through to your rotor is an electrical hazard, and should be dealt with immediately (by removing the damaged unit). The manufacturer has figured out that the blades need to me made of stainless steel, but has chosen to skimp on making other interior parts of this more-expensive metal. Good luck!",Appliances
open-ended,B00004U9JO,"Sep 24, 2014",1411542000.0,"If no power cord is included, how do I plug in the disposal unit?",,I ttok mine off of the broken unit and installed it on the new one.,Appliances
open-ended,B00004U9JO,"Nov 10, 2013",1384070400.0,Can someone tell me if this Badger 5 disposer is simple to replace (with my old broken Badger 5)? (i.e. Can I do it myself vs. hiring a plumber ),,"I replaced my a couple of months ago, I'm semi-handy fixing a lot of small stuff around the house. I'm small and in my late seventies, the only problem was holding the unit up in place while turning the locking ring. I no longer have the upper body strength to do it so I used a stack of books. Made sure all the connections were tight and have had so problems since. It clean and in good shape so I left the old badger mount in the sink. Took about forty min, but a lot of that was getting the books.",Appliances
open-ended,B00004U9JO,"Jul 24, 2013",1374649200.0,Is this Badger 5 compatible with the Badger 5 model 5-81? Same size and fittings?,,It fit the same as the one we replaced,Appliances
